Date      Low     2      3      4      5      6      7      8      9    High 
193804  24.80  24.39  22.34  17.36  16.77  19.13  16.68  14.88  11.99  13.84
193805  -8.11  -8.87 -11.39  -8.24  -8.26  -7.77  -5.61  -6.22  -3.07   0.75
193806  43.79  43.33  42.63  40.65  39.77  35.30  32.01  27.45  16.42  10.45
193807  22.58   7.18  10.34  13.72  10.83   7.67  13.13   5.85   4.00   4.85
193808  -7.76  -5.26  -4.91  -8.12  -3.50  -5.07   0.28  -4.29  -2.11  -1.26
193809  -4.25  -0.10  -2.34  -0.41  -0.79   0.94   1.77   1.54   1.35   0.15
193810  22.37  14.89  16.63   9.58   6.84   6.19   6.64   6.48   7.56   6.82
193811 -10.71  -5.35  -3.90  -3.60  -2.46  -1.82  -0.84  -1.93  -0.61  -1.43
193812   0.98   4.45   6.02   3.37   4.28   3.82   4.56   3.64   2.87   8.76
193901  -4.19  -6.66  -3.16  -5.10  -6.95  -8.04  -6.43  -5.24  -7.78  -9.19
193902  -0.65   0.28   4.76   3.44   1.61   2.59   4.03   5.28   5.35   4.70
193903 -16.60 -10.35 -15.54 -11.20 -15.69 -11.77  -7.70  -8.32 -15.68 -18.24
193904   0.47  -0.63  -0.40  -1.64   1.12  -1.21  -1.64   0.62   0.00   2.20
193905   3.56   6.84   4.24   5.31   4.95   7.50   7.29   6.65   8.46   8.81
193906 -12.46  -5.27  -6.72  -4.91  -7.10  -5.47  -4.17  -5.21  -4.15  -6.10
193907  10.21  16.71  11.82  10.24   9.63  11.13   9.79   8.02   9.83  13.39
193908 -15.31 -12.88 -11.87 -11.45  -7.16  -7.15  -7.40  -6.83  -5.03  -4.21
193909  52.50  42.73  33.69  25.46  30.09  21.98  14.72  10.13   8.57   7.93
193910  -7.05  -2.96  -3.82  -3.89  -3.46  -0.09  -1.03   0.72   1.54   4.96
193911  -6.44  -6.99  -3.30  -2.66  -3.25  -5.74  -1.90  -2.56  -3.91  -6.59
193912  -0.73   0.07  -0.29   1.77   3.98   3.16   3.44   3.63   4.17   7.21
194001  -0.96  -3.25  -3.40  -3.29  -6.15  -2.58  -2.29  -2.02  -0.25   0.01
194002  -1.88  -0.74   0.75   0.76   0.19   2.88   1.49   1.26   2.10   5.18
194003   2.96   0.39   3.49   2.02   2.76   1.74   1.46   2.49   0.93   4.38
194004  -4.19   0.02  -1.94  -0.86   0.81   0.69  -0.62   0.88   4.54   3.67
194005 -26.15 -28.07 -25.75 -18.45 -20.85 -22.48 -22.09 -21.17 -25.08 -28.30
194006   9.40   7.56   5.56   7.96   6.04   7.94   9.17   1.67   4.84   6.28
194007   1.38   3.57   4.46   3.61   1.96   4.19   2.21   3.49   2.75   4.44
194008   6.73   3.75   3.99   1.46   2.06   1.84   3.94   0.80   0.67   2.20
194009   1.88   1.17   4.57   1.18   2.49   2.57   2.52   3.01   3.01   0.64
194010   4.73  12.96   8.07  11.08   6.07   1.62   3.80   1.31  -0.54   2.69
194011  -1.66  -3.60   0.16  -1.45   1.19  -1.51  -4.68  -1.83  -0.71  -0.69
194012  -4.25   0.63  -0.04   0.88   0.21   0.63   0.95   0.97   1.14   1.83
194101   0.82  -1.70  -1.50  -3.17  -4.53  -4.76  -5.66  -5.19  -3.48  -5.11
194102  -2.28  -3.74  -1.12  -1.21  -1.55  -1.56  -1.24  -2.12  -0.15  -2.35
194103  -3.33   0.08  -0.85   1.79   0.16  -0.14   0.50   2.29   2.55  -0.68
194104 -11.78  -8.46  -7.16  -3.90  -3.85  -7.49  -5.31  -5.53  -3.29  -4.81
194105   1.40  -1.05  -1.03   1.31   1.72   2.61   0.28   1.87   2.52   1.29
194106   5.40   6.05   6.54   7.59   5.22   4.00   6.41   4.74   5.45   4.02
194107   9.67   6.90   5.38   2.76   3.33   7.24  10.08   9.57   9.26   8.22
194108  -2.19   0.69   0.25  -0.60   1.18  -0.10  -0.30  -1.10  -1.36  -0.46
194109   1.72   0.29  -0.89  -0.78  -1.01  -0.30  -2.35  -1.81  -3.89  -0.63
194110 -10.87  -7.95  -5.58  -5.97  -5.89  -7.12  -3.90  -2.30  -0.38   1.73
194111  -9.08  -0.92  -3.53  -2.99  -3.44  -3.42   0.62   2.29  -0.01   0.49
194112 -10.08  -5.04  -6.47  -0.75  -5.04  -1.71  -1.56  -6.42  -7.96  -8.06
194201  10.65   5.80   3.69   4.90  -3.13   3.11  -3.65  -0.42   2.86   0.34
194202  -0.68  -0.46  -2.76  -0.18  -2.89  -3.93  -4.08  -2.73  -3.52  -2.88
194203 -12.56  -5.10  -5.61  -7.83  -6.85  -7.39  -5.71  -5.89  -7.41  -5.46
194204   0.70  -4.72  -3.98  -3.89  -6.62  -3.76  -5.55  -6.00  -4.96  -1.80
194205   9.51  10.72   6.27   6.58   4.20   7.07   5.31   0.54   3.87   0.92
194206   2.54   5.05   1.47   3.67   3.21   1.93   4.63   1.54   1.64   1.20
194207   2.86   0.55   3.97   2.50   3.20   4.97   5.12   2.18   4.03   7.28
194208   1.97   1.06   3.26   1.58   1.32   2.06   1.46   1.97   2.75   1.36
194209   5.18   2.71   3.27   1.55   2.10   3.15   2.64   2.58   2.98   5.50
194210  14.11  10.99   7.34   6.43   6.60   5.39   6.00   6.61   7.77   7.29
194211  -1.52   0.62   2.69  -0.10  -1.00  -1.35   0.63  -0.98  -0.96  -1.59
194212   2.88   3.53   2.34   4.74   8.15   4.66   7.52   7.87   5.36   6.42
194301  10.92   7.66   7.52   4.82   8.43   7.97   7.18   5.99   8.20   9.04
194302  15.04   4.34   5.53   6.19   6.17   3.71   5.91   5.16   8.50   9.29
194303   9.10   6.75   2.68   6.40   4.00   6.36   5.32   9.28   9.85  12.44
194304  -2.71  -1.68   1.25  -0.26   0.41  -0.94   0.98   2.47   4.44  12.94
194305   3.77   5.08   4.88   5.76   5.08   6.75   6.58   6.25   7.75  15.85
194306   2.04   0.72   2.96   3.51   1.75   2.88   1.47   3.62   0.97  -3.61
194307  -1.82  -4.90  -4.46  -4.03  -5.49  -6.20  -5.74  -4.48  -7.81 -13.43
194308   0.56   0.55   0.92   1.78   3.17   1.50   2.82  -0.13   2.84  -1.14
194309   1.00   2.09   2.18   2.92   2.87   2.36   2.97   1.63   3.39   6.08
194310  -0.01  -1.06  -0.80  -1.30  -1.18  -1.57  -2.39  -0.25  -1.82   0.33
194311  -7.60  -5.28  -3.58  -5.23  -6.27  -6.65  -3.80  -9.02 -11.01 -14.29
194312   3.83   5.94   4.72   7.17   8.64   6.94   9.36  12.11  12.34  15.60
194401   0.85   2.36   1.14   3.83   1.36   1.67   1.95   4.70   1.29   3.13
194402   0.93  -0.69  -0.40   1.87   0.37   1.40   0.47   0.25   0.20   0.18
194403   0.92   2.14   1.83   2.25   1.71   3.34   3.75   2.68   6.64   7.73
194404  -3.86  -1.84  -1.65  -2.26  -1.45  -1.60  -1.03  -1.09  -1.75  -2.46
194405   3.36   3.50   4.26   5.68   3.69   5.79   5.87   6.90   6.59   5.92
194406  14.58  11.57   5.57   6.12   4.62   4.17   4.93   5.39   5.84   2.56
194407  -2.61  -1.40  -1.29  -1.95  -1.32  -0.31  -2.89  -1.07  -1.10  -2.57
194408  -0.43   0.68   0.85   2.56   1.11   1.85   2.97   3.96   5.60   6.96
194409  -0.27   0.03   0.75  -0.34   0.62  -0.35  -1.67  -0.77  -0.57  -1.96
194410   1.82   0.44   0.87   0.03  -0.06  -1.12  -0.84  -0.92  -1.76  -2.63
194411   1.72   1.43   0.93   2.36   1.44   2.06   2.02   2.89   2.28   3.49
194412   3.85   1.68   4.65   3.47   3.74   6.05   9.14   8.75   9.41   9.88
194501   3.27   0.67   2.85   2.18   2.28   0.92   2.77   1.57   2.98   3.27
194502   6.25   5.17   4.84   6.12   5.94   8.03   7.38   9.48   7.35  10.87
194503  -2.09  -3.79  -3.55  -4.09  -4.41  -4.36  -5.58  -5.88  -6.56  -5.59
194504   4.64   7.22   8.05   7.56   9.31  10.55   9.33   8.68  12.60  14.53
194505   2.49   1.46   2.11   1.25   0.57   1.74   2.05   2.20   3.05   1.75
194506   0.38  -1.03  -0.29  -0.40  -1.40   0.55   1.80   2.96   6.73   7.93
194507  -2.49  -0.60  -2.93  -0.95  -2.17  -1.84  -2.01  -2.81  -5.46  -8.29
194508   7.69   5.72   5.70   7.43   7.06   7.36   5.88   5.06   3.94   2.96
194509   6.23   5.22   2.40   4.67   4.72   5.22   5.75   6.19   8.06   8.23
194510   5.23   3.16   3.17   4.80   2.16   6.34   2.95   3.94   3.88   9.14
194511   4.33   4.51   1.91   6.37   4.22   7.27   7.85  11.21  11.92   8.88
194512   0.39   1.44   0.49   0.30   1.08   1.65   0.95   2.40   3.27   5.75
194601   4.79   4.35   5.00   6.61  11.59   6.52   8.93   9.71   5.18  11.36
194602  -4.45  -5.57  -6.05  -5.21  -5.71  -5.41  -8.11  -6.78  -7.72  -6.62
194603   8.09   2.98   6.74   5.35   6.22   5.68   7.52   8.98   7.29   8.34
194604   4.65   3.90   3.49   3.03   4.56   5.05   4.58   6.83   5.05   4.77
194605   4.96   3.88   2.84   4.92   4.17   3.76   4.92   2.50   5.69   3.17
194606  -4.41  -1.57  -1.65  -4.19  -5.14  -4.73  -5.75  -5.24  -6.51  -4.36
194607  -3.80  -1.89  -2.62  -2.10  -2.99  -3.43  -2.84  -3.52  -3.51  -2.46
194608  -7.67  -6.72  -7.05  -5.33  -5.36  -5.64  -6.99  -7.69  -5.84  -6.67
194609 -14.52 -11.46  -7.41  -9.54  -8.13 -10.24  -8.50  -9.86 -10.61 -14.32
194610  -2.84  -2.74  -1.47  -2.45  -0.13  -0.16  -0.49  -0.40  -1.30  -1.63
194611  -3.93  -2.02   1.55  -1.57   0.75   2.52   1.53  -0.69  -1.46   0.32
194612   3.80   3.56   6.39   3.51   5.79   4.64   5.14   3.70   4.50   7.49
194701   5.79   4.57   8.63   4.82   1.95   2.05   1.24  -0.66  -2.47  -2.99
194702   0.04  -2.24   0.73  -1.65  -0.33  -1.65   0.18  -1.24  -1.62  -2.40
194703  -6.95  -4.44  -3.38  -2.80  -1.22  -1.23  -1.91  -0.63  -0.30  -0.16
194704 -11.50  -8.84  -8.29  -6.76  -4.39  -4.35  -3.42  -2.31  -5.78  -4.39
194705  -6.99  -3.08  -3.68  -1.50   0.46  -0.01  -1.27  -0.34  -0.75  -0.45
194706   7.42   4.67   5.91   7.21   4.42   6.36   6.37   5.70   4.21   5.23
194707   9.05   9.67   5.93   7.04   6.51   4.40   5.64   3.69   2.11   3.81
194708  -5.51  -4.36  -3.04  -2.05  -3.26  -2.59  -0.82  -0.41  -1.02  -2.45
194709   3.82  -0.89  -0.44  -0.66   0.11   0.03  -0.26  -1.73  -0.58  -0.08
194710  -0.54   2.18   2.81   1.37   0.91   3.33   3.64   2.45   2.80   4.49
194711  -5.79  -4.17  -4.92  -3.99  -1.59  -2.65  -0.13  -0.24  -1.48  -0.41
194712  -0.42   0.45   1.30   2.93   1.66   2.79   4.48   4.03   3.48   5.33
194801  -0.15  -0.24  -1.72  -1.59  -2.37  -4.42  -4.76  -4.39  -6.20  -4.71
194802  -8.10  -6.76  -5.24  -4.79  -2.88  -4.43  -5.29  -3.59  -4.25  -3.66
194803  14.70  11.57   7.19  11.18   7.14   5.29   6.80   9.14   8.28  12.84
194804   0.47   1.14   2.08   2.01   2.80   1.37   3.36   5.05   6.97   7.03
194805   7.27   6.63   4.20   9.49   7.79   8.06   5.48   7.65  10.02   7.76
194806  -5.19  -1.82  -0.37  -0.76  -1.41   1.62   0.36   1.07   0.04   3.30
194807  -3.30  -3.96  -3.46  -4.48  -5.80  -5.41  -5.66  -5.25  -6.03  -6.08
194808   1.15   0.92   0.68  -0.44   0.59   1.26  -0.21  -0.13   0.82  -0.18
194809  -6.35  -3.23  -1.27  -1.78  -1.66  -2.93  -3.06  -3.36  -3.96  -5.93
194810   4.05   4.95   5.18   4.04   3.56   5.57   8.11   7.35   7.14   7.07
194811 -15.85  -8.74 -11.28  -7.45  -7.72  -8.23  -8.03 -11.05  -9.80 -11.72
194812  -0.58   0.45   0.13   5.17   2.37   2.81   2.11   4.27   4.37   5.51
194901   5.91   3.64   0.71   2.14   1.48  -0.14   1.41  -0.68  -1.52  -1.65
194902  -5.27  -3.01  -3.47  -1.55  -1.59  -3.33  -1.63  -2.55  -3.96  -4.20
194903   9.04   5.50   4.76   4.67   2.60   3.58   4.37   4.17   3.80   6.84
194904  -4.73  -5.44  -3.71  -3.52  -1.78  -0.64  -2.40  -1.31  -1.60  -0.43
194905  -6.81  -4.86  -4.27  -3.94  -3.72  -3.58  -1.90  -3.14  -1.20  -2.21
194906   1.30  -0.01   1.90   1.36   0.26  -1.12  -0.22   1.05  -0.37  -0.48
194907   7.11   7.07   6.98   6.60   6.23   5.65   6.52   5.35   4.01   4.80
194908   2.45   3.30   0.98   3.24   3.45   2.90   1.63   2.51   3.79   2.57
194909   6.05   5.93   5.17   2.85   2.74   3.33   1.91   2.80   2.66   4.67
194910   3.96   2.84   3.00   3.11   4.08   2.57   3.04   3.06   2.16   5.18
194911  -0.82   0.50   2.72  -1.20   1.35   1.45   2.82   2.24   2.83   3.67
194912  10.56   5.62   6.82   4.50   3.22   3.92   5.60   6.79   4.68   6.44
195001   5.80   4.71   2.87   1.99   0.96   0.79   0.41   1.99   1.44   2.85
195002  -0.49   0.52   0.23   0.71   1.23   1.62   1.65   2.77   2.86   2.06
195003  -2.57   2.24   1.72   1.73   0.55   0.83   0.59   2.91   0.01   1.87
195004   5.27   4.27   2.47   2.68   4.31   2.63   3.15   3.87   8.65   3.28
195005   3.08   4.47   4.98   3.28   4.45   4.10   3.82   4.27   6.10   3.54
195006  -5.92  -5.01  -5.13  -5.12  -4.92  -7.69  -6.47  -6.55  -5.53  -7.25
195007   3.00   6.70  -1.16   2.72   4.08   3.76   1.88   0.93  -0.84   0.39
195008   3.38   1.78   3.67   3.65   3.43   4.44   5.24   5.42   7.90   7.95
195009   6.29   5.43   4.57   5.74   4.23   3.44   4.65   5.10   5.96   3.87
195010  -1.02  -2.33   0.60  -0.23  -0.01  -0.43   0.22   0.61   0.49   1.70
195011  -1.58  -0.19   0.25   4.25   3.93   7.59   1.93   4.27   6.11   1.46
195012   1.75   2.40   3.29   6.06   7.36   5.67   7.24   8.40   4.50   9.57
195101   5.77   5.20   3.90   2.53   7.38   3.38   6.78   5.78   7.78   6.37
